timestamp,#job,#traffic,#happythanksgiving,#hawks,#blackfriday
2018-11-23 04:43:26,2225,107,1155,1,409
2018-11-23 04:43:28,2225,107,1156,1,409
2018-11-23 04:43:30,2225,107,1156,1,409
2018-11-23 04:43:32,2225,107,1156,1,409
2018-11-23 04:43:34,2225,107,1156,1,409
2018-11-23 04:43:36,2225,107,1156,1,409
2018-11-23 04:43:38,2226,107,1156,1,409
2018-11-23 04:43:40,2226,107,1156,1,409
2018-11-23 04:43:42,2226,107,1156,1,409
2018-11-23 04:43:44,2226,107,1156,1,409
2018-11-23 04:43:46,2226,107,1156,1,409
2018-11-23 04:43:48,2226,108,1156,1,409
2018-11-23 04:43:50,2227,108,1156,1,409
2018-11-23 04:43:52,2227,108,1156,1,409
2018-11-23 04:43:54,2227,108,1156,1,409
2018-11-23 04:43:56,2227,108,1156,1,409
2018-11-23 04:43:58,2227,108,1156,1,409
2018-11-23 04:44:00,2227,108,1156,1,409
2018-11-23 04:44:02,2227,108,1156,1,409
2018-11-23 04:44:04,2227,108,1156,1,409
2018-11-23 04:44:06,2227,108,1156,1,410
2018-11-23 04:44:08,2227,108,1156,1,410
2018-11-23 04:44:10,2227,108,1156,1,410
2018-11-23 04:44:12,2227,108,1156,1,410
2018-11-23 04:44:14,2227,108,1156,1,410
2018-11-23 04:44:16,2227,108,1156,1,410
2018-11-23 04:44:18,2230,108,1156,1,410
2018-11-23 04:44:20,2230,108,1156,1,410
2018-11-23 04:44:22,2230,108,1156,1,410
2018-11-23 04:44:24,2230,108,1156,1,410
2018-11-23 04:44:26,2230,108,1156,1,410
2018-11-23 04:44:28,2230,108,1157,1,410
2018-11-23 04:44:30,2230,108,1157,1,410
2018-11-23 04:44:32,2230,108,1157,1,410
2018-11-23 04:44:34,2230,108,1157,1,410
2018-11-23 04:44:36,2230,108,1157,1,410
2018-11-23 04:44:38,2230,108,1157,1,410
2018-11-23 04:44:40,2230,108,1157,1,410
2018-11-23 04:44:42,2230,108,1157,1,410
2018-11-23 04:44:44,2230,108,1157,1,410
2018-11-23 04:44:46,2230,108,1157,1,410
2018-11-23 04:44:48,2230,108,1157,1,410
2018-11-23 04:44:50,2230,108,1157,1,410
2018-11-23 04:44:52,2230,109,1157,1,410
2018-11-23 04:44:54,2230,109,1157,1,410
2018-11-23 04:44:56,2230,109,1157,1,410
2018-11-23 04:44:58,2230,109,1157,1,410
2018-11-23 04:45:00,2230,109,1157,1,410
2018-11-23 04:45:02,2230,109,1157,1,410
2018-11-23 04:45:04,2230,109,1157,1,410
2018-11-23 04:45:06,2230,109,1157,1,410
2018-11-23 04:45:08,2230,109,1157,1,410
2018-11-23 04:45:10,2230,109,1157,1,410
2018-11-23 04:45:12,2230,109,1157,1,410
2018-11-23 04:45:14,2230,109,1157,1,411
2018-11-23 04:45:16,2230,109,1157,1,411
2018-11-23 04:45:18,2230,109,1157,1,411
2018-11-23 04:45:20,2230,109,1157,1,411
2018-11-23 04:45:22,2230,109,1157,1,411
2018-11-23 04:45:24,2230,109,1157,1,411
2018-11-23 04:45:26,2230,109,1157,1,411
2018-11-23 04:45:28,2230,109,1157,1,411
2018-11-23 04:45:30,2230,109,1157,1,411
2018-11-23 04:45:32,2230,109,1157,1,411
2018-11-23 04:45:34,2230,109,1157,1,411
2018-11-23 04:45:36,2230,109,1157,1,411
2018-11-23 04:45:38,2230,109,1157,1,411
2018-11-23 04:45:40,2230,109,1157,1,412
2018-11-23 04:45:42,2230,109,1157,1,412
2018-11-23 04:45:44,2230,109,1157,1,412
2018-11-23 04:45:46,2230,109,1157,1,412
2018-11-23 04:45:48,2230,109,1157,1,412
2018-11-23 04:45:50,2230,109,1157,1,412
2018-11-23 04:45:52,2230,109,1157,1,412
2018-11-23 04:45:54,2230,110,1157,1,412
2018-11-23 04:45:56,2230,110,1157,1,412
2018-11-23 04:45:58,2230,110,1157,1,412
2018-11-23 04:46:00,2230,110,1157,1,412
2018-11-23 04:46:02,2230,110,1157,1,412
2018-11-23 04:46:04,2230,110,1157,1,412
2018-11-23 04:46:06,2230,110,1157,1,412
