@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
23036,0.027,0.852,0.122,0.9274,neutral
47143,0.041,0.843,0.116,0.8801,neutral
7239,0,0.837,0.163,0.7249,positive
62482,0,0.854,0.146,0.4767,positive
43461,0.068,0.773,0.159,0.8871,neutral
22680,0.042,0.67,0.288,0.9905,positive
51667,0.148,0.675,0.176,-0.3228,negative
25431,0.081,0.851,0.068,-0.1027,positive
71303,0,0.714,0.286,0.8862,positive
25358,0.129,0.644,0.228,0.4596,negative
56341,0.02,0.784,0.196,0.9839,positive
12472,0.128,0.831,0.041,-0.605,negative
14075,0,0.799,0.201,0.93,positive
17356,0.059,0.773,0.168,0.9653,neutral
52643,0,1,0,0,negative
53353,0.037,0.733,0.23,0.8126,neutral
47995,0.016,0.877,0.107,0.9105,neutral
4839,0,0.867,0.133,0.8907,positive
34069,0.101,0.858,0.041,-0.8364,negative
35750,0.013,0.796,0.191,0.9839,positive
49812,0.013,0.769,0.218,0.9825,neutral
38491,0.126,0.672,0.202,0.7615,negative
36833,0,0.737,0.263,0.9353,positive
10353,0,0.787,0.213,0.865,positive
30608,0,0.536,0.464,0.9894,positive
65055,0.145,0.744,0.111,-0.3851,positive
1038,0,0.619,0.381,0.9766,positive
22624,0.055,0.778,0.166,0.9609,positive
3302,0.02,0.752,0.228,0.9903,positive
4553,0.03,0.815,0.155,0.9266,positive
53319,0.215,0.38,0.405,0.4588,positive
20688,0.038,0.781,0.18,0.9734,positive
41371,0.137,0.793,0.07,-0.4215,positive
11641,0,0.655,0.345,0.6996,positive
70104,0,0.797,0.203,0.9522,positive
29426,0.099,0.901,0,-0.296,positive
24574,0.048,0.757,0.195,0.8439,negative
63275,0,0.73,0.27,0.9022,positive
33539,0,0.79,0.21,0.6103,positive
29716,0.047,0.847,0.106,0.7391,negative
68777,0.074,0.816,0.11,0.5416,neutral
52820,0.04,0.769,0.191,0.9651,positive
44491,0.068,0.756,0.176,0.8355,neutral
41390,0,0.802,0.198,0.915,positive
66469,0.091,0.836,0.074,-0.6387,negative
37096,0.266,0.734,0,-0.6997,negative
42956,0,0.456,0.544,0.9589,positive
24108,0,0.736,0.264,0.6486,neutral
42865,0,0.654,0.346,0.9639,positive
4978,0,0.796,0.204,0.9762,positive
3098,0.043,0.801,0.156,0.9711,positive
44471,0.136,0.864,0,-0.7228,negative
